movie_id,title,genres,cast,year,overview,original_language,rating,,,
tt4934950,Talvar,"Crime, Drama, Mystery"," Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",2015,"The story revolves around the mysterious murder cases of a 14-year girl, Shruti and the domestic help worked at her place. ",hi,8.1,,,
tt3863552,Bajrangi Bhaijaan ,"Action, Adventure, Comedy"," Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",2015," Tells the story of PK Chaturvedi, based on the life of Hindu deity Hanuman, who embarks on a journey to take a mute six-year-old Pakistani Muslim girl Shahida, separated in India from her parents, back to her hometown in Pakistan.",hi,8.2,,,
tt3848892,Baby ,"Action, Crime, Thriller"," Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",2015,An elite team of the Indian intelligence system perpetually strives to detect and eliminate terrorists and their plots. Officer Ajay leads a team to destroy one such potentially lethal operation.,hi,8.1,,,
tt4430212,Drishyam,"Crime, Drama, Mystery"," Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",2015,"Nandini begs him to leave Anju alone, and Sam says that he would do it on one condition: Nandini should have sex with him instead. In an attempt to break the offending cell phone, Anju takes a swing at Sam with a lead pipe, but she strikes him in the head instead, killing him immediately.",hi,8.2,,,
tt3735246,Bajirao Mastani,"Action, Drama, History"," Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi",2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",hi,7.3,,,
tt3767372,Piku ," Comedy, Drama"," Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee",2015,"A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",hi,7.6,,,
tt3678782,Badlapur ,"Action, Crime, Drama","Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi",2015,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,hi,7.5,,,
tt2424988,Gabbar Is Back," Action, Crime, Drama"," Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman",2015,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,hi,7.2,,,
tt2631186,Baahubali: The Beginning,"Action, Drama"," Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj",2015,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",hi,8.1,,,
tt3495030,Dum Laga Ke Haisha ,"Comedy, Drama, Romance"," Bhumi Pednekar, Ayushmann Khurrana, Sanjay Mishra, Sheeba Chaddha",2015,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,hi,7.5,,,
